time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-23 00:00:00+00:00,4,1,26,8
2025-01-24 00:00:00+00:00,5,2,75,8
2025-01-25 00:00:00+00:00,0,0,4,4
2025-01-26 00:00:00+00:00,10,3,0,0
2025-01-27 00:00:00+00:00,24,1,120,10
2025-01-28 00:00:00+00:00,40,4,68,9
2025-01-29 00:00:00+00:00,4,1,79,26
2025-01-30 00:00:00+00:00,2,2,29,9
2025-01-31 00:00:00+00:00,2,2,17,5
2025-02-01 00:00:00+00:00,4,4,4,4
2025-02-02 00:00:00+00:00,6,1,2,2
2025-02-03 00:00:00+00:00,10,7,15,7
2025-02-04 00:00:00+00:00,0,0,15,9
2025-02-05 00:00:00+00:00,26,5,77,7
2025-02-06 00:00:00+00:00,4,3,30,8
2025-02-07 00:00:00+00:00,27,15,23,5
2025-02-08 00:00:00+00:00,99,47,12,3
2025-02-09 00:00:00+00:00,11,4,7,3
2025-02-10 00:00:00+00:00,3,2,15,3
2025-02-11 00:00:00+00:00,2,2,17,3
2025-02-12 00:00:00+00:00,10,4,40,7
2025-02-13 00:00:00+00:00,56,9,82,5
2025-02-14 00:00:00+00:00,5,2,11,3
2025-02-15 00:00:00+00:00,5,2,7,2
2025-02-16 00:00:00+00:00,10,3,2,1
2025-02-17 00:00:00+00:00,10,3,6,3
2025-02-18 00:00:00+00:00,8,4,15,7
2025-02-19 00:00:00+00:00,32,7,80,5
2025-02-20 00:00:00+00:00,8,3,1,1
2025-02-21 00:00:00+00:00,9,6,30,6
2025-02-22 00:00:00+00:00,7,5,1,1
2025-02-23 00:00:00+00:00,11,3,1,1
2025-02-24 00:00:00+00:00,21,4,38,4
2025-02-25 00:00:00+00:00,19,4,58,8
2025-02-26 00:00:00+00:00,6,3,50,8
2025-02-27 00:00:00+00:00,4,3,7,4
2025-02-28 00:00:00+00:00,5,3,12,4
2025-03-01 00:00:00+00:00,8,6,0,0
2025-03-02 00:00:00+00:00,8,3,4,3
2025-03-03 00:00:00+00:00,3,3,26,5
2025-03-04 00:00:00+00:00,9,8,14,6
2025-03-05 00:00:00+00:00,6,4,50,6
2025-03-06 00:00:00+00:00,18,6,74,5
2025-03-07 00:00:00+00:00,4,3,32,4
2025-03-08 00:00:00+00:00,5,3,21,5
2025-03-09 00:00:00+00:00,16,8,12,3
2025-03-10 00:00:00+00:00,15,9,71,6
2025-03-11 00:00:00+00:00,40,11,29,6
2025-03-12 00:00:00+00:00,9,4,46,9
2025-03-13 00:00:00+00:00,20,6,64,7
2025-03-14 00:00:00+00:00,5,2,10,4
2025-03-15 00:00:00+00:00,8,5,0,0
2025-03-16 00:00:00+00:00,10,3,8,1
2025-03-17 00:00:00+00:00,15,6,74,5
2025-03-18 00:00:00+00:00,9,6,88,11
2025-03-19 00:00:00+00:00,5,3,76,8
2025-03-20 00:00:00+00:00,63,9,171,20
2025-03-21 00:00:00+00:00,19,8,48,11
2025-03-22 00:00:00+00:00,6,6,17,1
2025-03-23 00:00:00+00:00,15,6,1,1
2025-03-24 00:00:00+00:00,6,3,31,7
2025-03-25 00:00:00+00:00,132,14,125,6
2025-03-26 00:00:00+00:00,54,8,197,41
2025-03-27 00:00:00+00:00,5,3,37,24
2025-03-28 00:00:00+00:00,56,7,138,6
2025-03-29 00:00:00+00:00,10,9,34,5
2025-03-30 00:00:00+00:00,16,8,37,3
2025-03-31 00:00:00+00:00,12,9,90,11
